x,y,z
0.183,-0.427,-0.305
0.244,-0.549,-0.244
-0.061,-0.427,-0.305
0.122,-0.549,-0.305
0.122,-0.549,-0.244
0.122,-0.549,-0.244
0.244,-0.549,-0.305
0.183,-0.61,-0.305
0.122,-0.488,-0.244
0.183,-0.549,-0.305
0.122,-0.549,-0.244
0.183,-0.549,-0.244
0.122,-0.488,-0.305
0.244,-0.61,-0.305
0.183,-0.549,-0.305
0.183,-0.549,-0.244
0.122,-0.488,-0.305
0.305,-0.793,-0.244
0.122,-0.549,-0.244
0.122,-0.549,-0.305
0.854,-0.427,-0.488
83.313,-46.387,-38.513
18.433,-55.847,-176.697
-94.91,312.439,-131.104
380.737,-8.85,-153.87
-0.122,-0.366,-0.305
-1.282,-1.404,-0.183
0.061,-0.244,-0.305
0.427,-0.183,-0.122
0.732,-26.733,-124.023
92.407,71.533,-19.47
52.795,17.212,-156.006
-87.463,-36.56,151.001
-136.23,133.24,149.658
68.176,-88.196,-46.57
-50.781,-151.245,61.829
2.258,-117.371,136.963
-0.671,229.126,-146.851
-0.244,-0.61,-0.244
0.183,-0.549,-0.244
-0.183,-0.366,-0.427
0.122,-0.488,-0.244
-0.061,-0.427,-0.244
80.811,-13.489,-200.5
-253.174,-196.899,91.37
9.827,-13.062,52.002
-78.186,266.113,-108.276
-37.903,56.641,13.977
-73.547,-161.072,119.873
65.796,51.453,123.413
-22.156,-47.852,-151.978
-37.476,-33.569,-29.541
-32.654,-11.597,98.083
69.58,74.646,48.218
12.634,-69.946,-88.196
123.901,181.946,-108.765
-1.282,-0.549,-0.244
-0.793,-0.549,-0.244
-0.549,-0.549,-0.305
-0.427,-0.488,-0.305
-0.366,-0.427,-0.366
0.0,-0.488,-0.366
-0.427,-0.366,-0.244
-0.122,-0.549,-0.244
0.0,-0.488,-0.305
0.183,-0.549,-0.244
0.122,-0.488,-0.244
0.366,-0.427,-0.305
0.244,-0.488,-0.305
0.061,-0.549,-0.244
0.305,-0.488,-0.366
0.183,-0.427,-0.305
0.427,-0.61,-0.366
0.0,-0.549,-0.244
0.183,-0.549,-0.244
0.061,-0.61,-0.122
0.122,-0.488,-0.244
0.305,-0.549,-0.244
0.122,-0.488,-0.244
0.122,-0.488,-0.305
0.122,-0.488,-0.244
0.122,-0.488,-0.244
0.183,-0.488,-0.244
0.061,-0.549,-0.244
0.122,-0.488,-0.244
0.183,-0.488,-0.244
0.183,-0.549,-0.244
0.122,-0.549,-0.305
0.061,-0.488,-0.244
0.061,-0.549,-0.244
0.061,-0.488,-0.244
0.183,-0.488,-0.305
0.061,-0.488,-0.244
