timestamp,x,y,z
570685,0.18,-0.43,-0.18
570788,0.12,-0.43,-0.24
570891,0.18,-0.43,-0.18
570994,0.06,-0.43,-0.24
571097,0.12,-0.37,-0.24
571201,0.12,-0.43,-0.24
571303,0.12,-0.37,-0.24
571406,0.12,-0.43,-0.24
571508,0.18,-0.37,-0.24
571611,0.12,-0.43,-0.24
571715,0.12,-0.43,-0.24
571817,0.12,-0.37,-0.24
571920,0.12,-0.43,-0.24
572023,0.18,-0.43,-0.24
572125,0.06,-0.43,-0.24
572227,0.12,-0.43,-0.24
572331,0.12,-0.43,-0.24
572434,0.18,-0.37,-0.24
572537,0.12,-0.43,-0.18
572640,0.12,-0.43,-0.24
572742,0.12,-0.43,-0.24
572845,0.12,-0.43,-0.18
572947,0.12,-0.43,-0.24
573051,0.12,-0.43,-0.24
573154,0.12,-0.43,-0.24
573257,0.18,-0.37,-0.18
573359,0.06,-0.43,-0.31
573462,0.12,-0.43,-0.24
573565,0.12,-0.43,-0.24
573668,0.18,-0.43,-0.18
573771,0.12,-0.43,-0.24
573875,0.12,-0.43,-0.24
573978,0.12,-0.37,-0.24
574082,0.0,-0.43,-0.24
574185,0.18,-0.43,-0.18
574289,0.18,-0.43,-0.18
574391,0.06,-0.43,-0.24
574494,0.0,-0.43,-0.31
574597,0.12,-0.43,-0.31
574700,-0.06,-0.43,-0.37
574803,-0.12,-0.37,-0.31
574906,0.06,-0.37,-0.24
575011,0.24,-0.43,-0.24
575115,-0.12,-0.37,-0.55
575217,-0.06,-0.18,-0.31
575320,-0.12,-0.31,-0.37
575423,0.18,-0.43,-0.18
575526,0.12,-0.43,-0.18
575629,0.31,-0.37,-0.06
575732,0.12,-0.37,-0.18
575835,0.06,-0.43,-0.31
575938,0.12,-0.43,-0.24
576041,0.12,-0.43,-0.24
576144,0.12,-0.43,-0.24
576246,0.12,-0.43,-0.24
576349,0.18,-0.43,-0.18
576452,0.12,-0.43,-0.37
576555,0.18,-0.43,-0.24
576658,0.0,-0.43,-0.24
576760,0.12,-0.37,-0.24
576864,0.12,-0.49,-0.24
576966,0.24,-0.43,-0.18
577069,0.12,-0.49,-0.24
577171,0.12,-0.43,-0.24
577274,0.12,-0.43,-0.24
577376,0.12,-0.49,-0.24
577479,0.12,-0.43,-0.31
577582,0.06,-0.43,-0.24
577685,0.0,-0.43,-0.31
577787,0.12,-0.43,-0.24
577891,0.12,-0.43,-0.24
577994,0.06,-0.43,-0.24
578097,0.12,-0.43,-0.24
578200,0.06,-0.43,-0.24
578303,0.12,-0.43,-0.24
578406,0.12,-0.43,-0.24
578508,0.12,-0.43,-0.24
578612,0.06,-0.49,-0.18
578715,0.12,-0.43,-0.24
578818,0.12,-0.43,-0.24
578920,0.18,-0.43,-0.31
579023,0.12,-0.43,-0.24
579126,0.12,-0.43,-0.24
579228,0.24,-0.43,-0.24
579331,0.12,-0.43,-0.31
579433,0.06,-0.43,-0.24
579536,0.12,-0.43,-0.24
579639,0.12,-0.43,-0.18
579741,0.12,-0.43,-0.24
579845,0.06,-0.43,-0.31
579947,0.0,-0.49,-0.31
580050,0.12,-0.37,-0.24
580153,0.12,-0.43,-0.24
580255,0.12,-0.43,-0.24
580358,0.12,-0.43,-0.24
580461,0.06,-0.43,-0.31
580565,0.12,-0.43,-0.24
580668,0.18,-0.43,-0.24
580772,0.12,-0.43,-0.24
580875,0.12,-0.43,-0.24
580977,0.18,-0.43,-0.24
581081,0.06,-0.43,-0.31
581185,0.18,-0.43,-0.24
581288,0.18,-0.37,-0.24
581392,0.12,-0.43,-0.24
581496,0.12,-0.43,-0.24
581600,0.12,-0.43,-0.24
581704,0.18,-0.37,-0.18
581807,0.12,-0.37,-0.24
581910,0.12,-0.43,-0.24
582015,0.12,-0.43,-0.24
582118,0.06,-0.43,-0.24
582222,0.18,-0.37,-0.24
582326,0.12,-0.37,-0.24
582429,0.12,-0.43,-0.18
582532,0.06,-0.43,-0.31
582635,0.12,-0.43,-0.24
582739,0.12,-0.43,-0.24
582841,0.12,-0.43,-0.18
582944,0.12,-0.43,-0.24
583047,0.12,-0.43,-0.18
583150,0.06,-0.43,-0.24
583253,0.12,-0.43,-0.24
583356,0.18,-0.43,-0.24
583459,0.06,-0.43,-0.24
583563,0.12,-0.37,-0.24
583665,0.12,-0.43,-0.24
583768,0.12,-0.43,-0.24
583870,0.12,-0.43,-0.24
583972,0.12,-0.43,-0.24
584075,0.12,-0.43,-0.24
584177,0.12,-0.43,-0.24
584280,0.12,-0.43,-0.24
584383,0.12,-0.43,-0.24
584486,0.12,-0.37,-0.31
584589,0.18,-0.37,-0.24
584692,0.12,-0.43,-0.24
584795,0.18,-0.43,-0.18
584898,0.12,-0.43,-0.24
585001,0.06,-0.43,-0.31
585104,0.06,-0.43,-0.31
585207,0.12,-0.43,-0.24
585310,0.12,-0.43,-0.24
585413,0.06,-0.43,-0.24
585516,0.12,-0.37,-0.24
585619,0.12,-0.43,-0.24
585721,0.18,-0.37,-0.18
585824,0.12,-0.43,-0.24
585927,0.12,-0.43,-0.31
586029,0.06,-0.43,-0.24
586132,0.12,-0.43,-0.24
586235,0.12,-0.43,-0.24
586338,0.12,-0.37,-0.24
586441,0.06,-0.43,-0.31
586544,0.18,-0.43,-0.24
586646,0.12,-0.43,-0.18
586750,0.18,-0.43,-0.18
586852,0.12,-0.43,-0.24
586955,0.12,-0.43,-0.24
587058,0.12,-0.43,-0.24
587161,0.12,-0.43,-0.18
587263,0.06,-0.43,-0.24
587366,0.18,-0.43,-0.24
587468,0.12,-0.43,-0.24
587571,0.12,-0.43,-0.24
587674,0.12,-0.43,-0.18
587777,0.12,-0.43,-0.24
587879,0.06,-0.37,-0.24
587982,0.06,-0.37,-0.31
588085,0.12,-0.43,-0.24
588187,0.06,-0.43,-0.24
588291,0.12,-0.43,-0.24
588394,0.12,-0.37,-0.24
588496,0.12,-0.43,-0.31
588599,0.18,-0.37,-0.18
588702,0.12,-0.43,-0.24
588805,0.12,-0.43,-0.37
588908,0.18,-0.43,-0.24
589011,0.06,-0.43,-0.31
589113,0.12,-0.43,-0.24
589215,0.06,-0.43,-0.31
589318,0.18,-0.37,-0.24
589421,0.12,-0.37,-0.24
589524,0.18,-0.43,-0.24
589627,0.06,-0.43,-0.31
589729,0.12,-0.49,-0.24
589831,0.12,-0.43,-0.24
589934,0.12,-0.43,-0.24
590037,0.12,-0.43,-0.24
590139,0.12,-0.43,-0.31
590242,0.12,-0.43,-0.18
590345,0.12,-0.43,-0.24
590449,0.18,-0.43,-0.31
590552,0.06,-0.37,-0.31
590654,0.18,-0.43,-0.24
590757,0.12,-0.37,-0.18
590860,0.12,-0.43,-0.24
590963,0.0,-0.37,-0.43
591066,-0.12,-0.43,-0.55
591169,0.0,-0.49,-0.43
591273,0.85,-0.37,0.49
591375,0.98,-0.24,0.67
591479,0.31,-0.43,-0.12
591582,0.49,-0.37,0.12
591685,0.24,-0.43,-0.18
591787,0.18,-0.43,-0.18
591891,0.24,-0.43,-0.24
591994,0.18,-0.43,-0.24
592097,0.18,-0.43,-0.12
592200,0.12,-0.37,-0.24
592304,0.31,-0.37,-0.18
592407,0.0,-0.49,-0.24
592510,0.18,-0.43,-0.24
592612,0.12,-0.37,-0.18
592715,0.18,-0.43,-0.18
592817,0.18,-0.43,-0.18
592921,0.12,-0.43,-0.24
593023,0.18,-0.43,-0.18
593127,0.12,-0.43,-0.24
593230,0.18,-0.43,-0.24
593333,0.18,-0.37,-0.18
593435,0.18,-0.43,-0.24
593538,0.06,-0.43,-0.31
593642,0.18,-0.43,-0.24
593745,0.18,-0.43,-0.24
593848,0.06,-0.43,-0.24
593951,0.06,-0.43,-0.24
594055,0.0,-0.43,-0.24
594158,0.18,-0.43,-0.24
594262,0.12,-0.43,-0.24
594364,0.18,-0.43,-0.24
594467,0.12,-0.43,-0.24
594570,0.18,-0.37,-0.18
594672,0.12,-0.43,-0.24
594775,0.12,-0.43,-0.24
594878,0.12,-0.43,-0.24
594982,0.18,-0.37,-0.24
595085,0.06,-0.49,-0.24
595189,0.18,-0.43,-0.24
595292,0.12,-0.43,-0.24
595395,0.06,-0.43,-0.24
595498,0.18,-0.37,-0.18
595602,0.06,-0.43,-0.24
595705,0.18,-0.37,-0.24
595808,0.06,-0.43,-0.24
595910,0.18,-0.43,-0.24
596013,0.06,-0.49,-0.24
596116,0.12,-0.43,-0.18
596219,0.12,-0.43,-0.24
596321,0.12,-0.43,-0.24
596424,0.12,-0.43,-0.31
596527,0.18,-0.43,-0.24
596630,0.12,-0.43,-0.24
596732,0.18,-0.43,-0.24
596836,0.12,-0.43,-0.24
596939,0.12,-0.43,-0.24
597043,0.12,-0.43,-0.24
597146,0.12,-0.43,-0.18
597250,0.18,-0.43,-0.18
597355,0.12,-0.43,-0.24
597459,0.18,-0.37,-0.18
597562,0.12,-0.43,-0.24
597666,0.12,-0.43,-0.31
597769,0.18,-0.43,-0.18
597873,0.06,-0.49,-0.24
597976,0.18,-0.43,-0.24
598080,0.12,-0.37,-0.24
598182,0.12,-0.43,-0.24
598286,0.18,-0.43,-0.24
598389,0.12,-0.43,-0.24
598493,0.12,-0.43,-0.24
598596,0.18,-0.43,-0.24
598701,0.06,-0.43,-0.31
598803,0.18,-0.43,-0.24
598906,0.0,-0.43,-0.18
599010,0.06,-0.43,-0.31
599113,0.31,-0.43,-0.18
599215,0.06,-0.43,-0.24
599320,0.24,-0.37,-0.31
599423,0.12,-0.37,-0.24
599527,0.18,-0.43,-0.18
599631,0.12,-0.37,-0.24
599734,0.12,-0.43,-0.24
599836,0.12,-0.43,-0.31
599939,0.12,-0.43,-0.18
600041,0.12,-0.37,-0.24
600145,0.12,-0.43,-0.24
600248,0.12,-0.43,-0.24
600352,0.12,-0.43,-0.24
600455,0.12,-0.43,-0.24
600559,0.12,-0.43,-0.24
600662,0.18,-0.37,-0.24
600765,0.12,-0.43,-0.31
600868,0.12,-0.37,-0.24
600972,0.12,-0.43,-0.24
601075,0.12,-0.43,-0.24
601178,0.12,-0.43,-0.24
601280,0.12,-0.43,-0.24
601384,0.12,-0.43,-0.24
601486,0.12,-0.43,-0.24
601589,0.12,-0.43,-0.24
601693,0.12,-0.43,-0.24
601796,0.12,-0.37,-0.24
601898,0.12,-0.43,-0.24
602002,0.12,-0.43,-0.24
602105,0.12,-0.37,-0.24
602208,0.18,-0.43,-0.24
602311,0.12,-0.37,-0.24
602415,0.18,-0.43,-0.18
602518,0.12,-0.43,-0.24
602621,0.18,-0.43,-0.24
602723,0.06,-0.43,-0.24
602826,0.12,-0.37,-0.24
602929,0.18,-0.37,-0.18
603033,0.06,-0.43,-0.24
603136,0.18,-0.37,-0.24
603240,0.12,-0.43,-0.24
603343,0.18,-0.43,-0.24
603446,0.12,-0.43,-0.24
603549,0.12,-0.43,-0.24
603652,0.12,-0.43,-0.18
603755,0.12,-0.43,-0.24
603859,0.12,-0.37,-0.24
