x,y,z
-0.061,-0.61,-0.183
0.122,-0.427,-0.244
0.122,-0.366,-0.305
0.122,-0.549,-0.183
0.122,-0.427,-0.244
-0.061,-0.488,-0.183
0.183,-0.366,-0.244
0.183,-0.366,-0.244
0.122,-0.488,-0.244
0.183,-0.427,-0.244
0.122,-0.427,-0.305
0.122,-0.488,-0.183
0.122,-0.488,-0.244
0.122,-0.488,-0.183
0.183,-0.427,-0.244
0.427,-0.244,-0.305
0.122,-0.488,-0.183
0.061,-0.488,-0.183
-0.183,-0.549,-0.183
0.122,-0.427,-0.244
0.183,-1.831,-0.854
0.305,-0.427,-0.183
0.122,-0.427,-0.183
0.122,-0.488,-0.244
0.183,-0.427,-0.183
-0.122,-0.488,-0.183
0.122,-0.488,-0.244
0.122,-0.427,-0.244
0.183,-0.488,-0.183
0.122,-0.427,-0.244
0.244,-0.488,-0.244
-0.427,-0.305,-0.305
0.122,-0.427,-0.244
0.122,-0.488,-0.183
0.122,-0.488,-0.244
0.183,-0.488,-0.244
0.061,-0.427,-0.183
0.061,-0.427,-0.183
0.061,-0.488,-0.183
0.122,-0.427,-0.244
-10.925,8.301,25.94
0.061,-0.183,-0.061
0.061,-0.488,-0.244
0.122,-0.122,-0.061
6.287,3.296,-5.249
-0.427,-0.549,0.061
0.183,-0.488,-0.183
0.122,-0.427,-0.183
0.244,-0.427,-0.183
-0.244,-0.427,-0.183
0.183,-0.427,-0.183
0.122,-0.427,-0.183
0.183,-0.427,-0.183
0.122,-0.427,-0.244
0.122,-0.488,-0.183
0.122,-0.488,-0.183
0.061,-0.488,-0.183
-0.305,-0.61,-0.122
0.122,-0.427,-0.183
-0.122,-0.61,-0.183
0.061,-0.366,-0.244
0.122,-0.488,-0.183
0.061,-0.427,-0.244
0.122,-0.427,-0.244
0.061,-0.427,-0.183
0.244,-0.366,-0.244
0.122,-0.427,-0.183
0.122,-0.427,-0.183
0.122,-0.488,-0.183
0.122,-0.488,-0.244
0.122,-0.427,-0.244
0.122,-0.427,-0.183
0.0,-0.488,-0.183
0.244,-0.427,-0.244
0.122,-0.427,-0.183
24.292,-8.667,-73.669
2.869,121.338,-7.996
-77.759,116.455,5.92
-125.671,153.259,20.935
-27.283,-155.64,159.363
56.458,56.152,460.449
-91.003,219.91,117.981
153.015,-93.567,-291.26
129.761,-93.14,189.575
-62.561,218.628,195.984
85.083,106.628,-213.684
488.403,-32.043,106.14
3.784,178.04,386.78
-78.552,230.164,-95.215
170.898,66.589,-257.629
204.224,-119.751,415.161
-5.249,203.796,-66.162
101.868,-14.282,-191.833
98.572,-37.415,522.583
-18.86,60.791,-353.577
367.126,-111.023,-2.258
-119.141,323.12,45.105
233.093,-133.85,-107.788
-37.354,273.132,154.358
174.255,-30.457,-149.536
-114.197,369.69,-28.87
-23.438,189.941,-172.119
151.184,24.597,323.242
156.494,-16.113,-74.219
-46.204,382.568,-54.26
158.142,-151.733,217.957
20.752,113.525,-243.469
-137.024,236.633,147.095
-234.68,120.667,-118.408
113.953,58.289,-119.141
-16.296,14.771,2.136
-27.954,106.628,9.094
-24.414,13.123,56.763
21.057,-37.048,-71.045
-22.949,-93.445,221.252
-12.634,-5.371,-5.676
12.878,13.977,13.489
-29.785,132.751,-29.236
